,number,name,name_feeder_T,power_T,voltage_l,subscriber,Trs,fake_sect,sec_short
55,21,Подземгаз,Волохово,16000,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
56,21,Подземгаз,2,16000,6,АО Газстройдеталь,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
57,21,Подземгаз,3,16000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
58,21,Подземгаз,6 (откл.),16000,6,ОАО Тулэнергосетьремонт,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
59,21,Подземгаз,11 (откл.),16000,6,ЗАО Тульский завод РТИ,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
60,21,Подземгаз,12,16000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
61,21,Подземгаз,13,16000,6,OOO КС Энерго,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
62,21,Подземгаз,14,16000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
63,21,Подземгаз,16,16000,6,ОАО Тулаточмаш,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
64,21,Подземгаз,18,16000,6,"ОАО ""НПО""Сплав""",Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
65,21,Подземгаз,20,16000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
66,21,Подземгаз,22,16000,6,МКП Тулгорэлектротранс,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
67,21,Подземгаз,24,16000,6,ОАО ТНИТИ,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
68,21,Подземгаз,26 (откл.),16000,6,ПСК Содружество,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
69,21,Подземгаз,28 (откл.),16000,6,,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
70,21,Подземгаз,30,16000,6,"Филиал РТРС ""Тульский ОРТПЦ""",Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
71,24,Рудаково,Мастерские-2,25000,6,ОАО Скуратовский опытно-экспериментальный завод,Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
72,24,Рудаково,Петелино,25000,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
73,24,Рудаково,4,25000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
74,24,Рудаково,21 (откл.),25000,6,ООО Аверс-Оптимум,Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
75,24,Рудаково,23,25000,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
76,24,Рудаково,25,25000,6,ООО Влада,Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
77,24,Рудаково,27,25000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
78,24,Рудаково,29,25000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
79,24,Рудаково,31,25000,6,ФКУ-ИК 7,Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
80,24,Рудаково,33 (откл.),25000,6,"ООО ""Стальвтормет""",Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
81,24,Рудаково,Сельэлектро,25000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
82,24,Рудаково,Мастерские-1,25000,6,ОАО Скуратовский опытно-экспериментальный завод,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
83,24,Рудаково,34,25000,6,ООО Тулпромстрой-УПТК ,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
84,24,Рудаково,38 (рез.ТСН ПС Стечкин),25000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
85,24,Рудаково,40 (ТСН-3 ПС Тула),25000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
86,24,Рудаково,5,25000,6,ООО Строймеханика-2,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
87,24,Рудаково,7,25000,6,ООО Влада,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
88,24,Рудаково,6,25000,6,"ЗАО ""Скуратовский завод ""Стройтехника""",Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
89,24,Рудаково,8,25000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
90,24,Рудаково,9,25000,6,ООО Тулпромстрой-УПТК ,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
91,24,Рудаково,10,25000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
92,24,Рудаково,11,25000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
93,24,Рудаково,22,25000,6,ООО Аверс-Оптимум,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
94,24,Рудаково,26,25000,6,ООО Аверс-Оптимум,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
95,24,Рудаково,24,25000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
96,24,Рудаково,28,25000,6,ООО Строй Бетон (завод ЖБИ),Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
97,24,Рудаково,30,25000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
98,24,Рудаково,32,25000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
99,24,Рудаково,42,25000,6,"ООО ""Стальвтормет""",Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
100,24,Рудаково,36,25000,6,ГК Эльф ,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
101,26,Липки,Шахта 4 (откл.),20000,6,Киреевский ГРЭС,Т-1,1 СкШ 6 кВ ПС Липки,1 СкШ 6 кВ
102,26,Липки,Город 1 (откл.),20000,6,Киреевский ГРЭС,Т-1,1 СкШ 6 кВ ПС Липки,1 СкШ 6 кВ
103,26,Липки,ЛЗМК,20000,6,Киреевский ГРЭС,Т-1,1 СкШ 6 кВ ПС Липки,1 СкШ 6 кВ
104,26,Липки,Бородино-1,20000,6,Киреевский ГРЭС,Т-1,1 СкШ 6 кВ ПС Липки,1 СкШ 6 кВ
105,26,Липки,Долгое,20000,6,Киреевский ГРЭС,Т-1,1 СкШ 6 кВ ПС Липки,1 СкШ 6 кВ
106,26,Липки,Шахта 11 (резерв),20000,6,ФКУ КП-8 УФСИН,Т-1,1 СкШ 6 кВ ПС Липки,1 СкШ 6 кВ
107,26,Липки,Шахта 5,20000,6,Киреевский ГРЭС,Т-2,2 СкШ 6 кВ ПС Липки,2 СкШ 6 кВ
108,26,Липки,Шахта 6,20000,6,Киреевский ГРЭС,Т-2,2 СкШ 6 кВ ПС Липки,2 СкШ 6 кВ
109,26,Липки,Шахта 8,20000,6,Киреевский ГРЭС,Т-2,2 СкШ 6 кВ ПС Липки,2 СкШ 6 кВ
110,26,Липки,Шахта 9,20000,6,Киреевский ГРЭС,Т-2,2 СкШ 6 кВ ПС Липки,2 СкШ 6 кВ
111,26,Липки,Шахта 10,20000,6,Киреевский ГРЭС,Т-2,2 СкШ 6 кВ ПС Липки,2 СкШ 6 кВ
112,26,Липки,Шахта 12,20000,6,ФКУ КП-8 УФСИН,Т-2,2 СкШ 6 кВ ПС Липки,2 СкШ 6 кВ
113,26,Липки,Шахта 14,20000,6,ФКУ КП-8 УФСИН,Т-2,2 СкШ 6 кВ ПС Липки,2 СкШ 6 кВ
114,26,Липки,Бородино-2,20000,6,Киреевский ГРЭС,Т-2,2 СкШ 6 кВ ПС Липки,2 СкШ 6 кВ
115,26,Липки,Смирновский,20000,6,Киреевский ГРЭС,Т-2,2 СкШ 6 кВ ПС Липки,2 СкШ 6 кВ
116,27,Иваньково,.1 (откл.),6300,10,,Т-1,1 СкШ 10 кВ ПС Иваньково,1 СкШ 10 кВ
117,27,Иваньково,.3 (откл.),6300,10,Ясногорский РЭС,Т-1,1 СкШ 10 кВ ПС Иваньково,1 СкШ 10 кВ
118,27,Иваньково,5,6300,10,Ясногорский РЭС,Т-1,1 СкШ 10 кВ ПС Иваньково,1 СкШ 10 кВ
119,27,Иваньково,7 (откл.),6300,10,Ясногорский РЭС,Т-1,1 СкШ 10 кВ ПС Иваньково,1 СкШ 10 кВ
120,27,Иваньково,9,6300,10,Ясногорский РЭС,Т-1,1 СкШ 10 кВ ПС Иваньково,1 СкШ 10 кВ
121,27,Иваньково,11,6300,10,Ясногорский РЭС,Т-1,1 СкШ 10 кВ ПС Иваньково,1 СкШ 10 кВ
122,27,Иваньково,13,6300,10,Ясногорский РЭС,Т-1,1 СкШ 10 кВ ПС Иваньково,1 СкШ 10 кВ
123,27,Иваньково,15 (откл.),6300,10,,Т-1,1 СкШ 10 кВ ПС Иваньково,1 СкШ 10 кВ
124,27,Иваньково,2,6300,10,Ясногорский РЭС,Т-2,2 СкШ 10 кВ ПС Иваньково,2 СкШ 10 кВ
125,27,Иваньково,4,6300,10,Ясногорский РЭС,Т-2,2 СкШ 10 кВ ПС Иваньково,2 СкШ 10 кВ
126,27,Иваньково,8 (откл.),6300,10,Ясногорский РЭС,Т-2,2 СкШ 10 кВ ПС Иваньково,2 СкШ 10 кВ
127,27,Иваньково,6,6300,10,Ясногорский РЭС,Т-2,2 СкШ 10 кВ ПС Иваньково,2 СкШ 10 кВ
128,31,Ломинцево,20,16000,6,ОАО Щекинская городская электросеть,Т-1,1 СкШ 6 кВ ПС Ломинцево,1 СкШ 6 кВ
129,31,Ломинцево,21,16000,6,ОАО Щекинская городская электросеть,Т-1,1 СкШ 6 кВ ПС Ломинцево,1 СкШ 6 кВ
130,31,Ломинцево,26,16000,6,ОАО Щекинская городская электросеть,Т-1,1 СкШ 6 кВ ПС Ломинцево,1 СкШ 6 кВ
131,31,Ломинцево,27,16000,6,ОАО Щекинская городская электросеть,Т-1,1 СкШ 6 кВ ПС Ломинцево,1 СкШ 6 кВ
132,31,Ломинцево,Панарино,16000,6,Щекинский РЭС,Т-1,1 СкШ 6 кВ ПС Ломинцево,1 СкШ 6 кВ
133,31,Ломинцево,Мясоедово,16000,6,Щекинский РЭС,Т-1,1 СкШ 6 кВ ПС Ломинцево,1 СкШ 6 кВ
134,31,Ломинцево,Шахта 22 (откл.),16000,6,ЗАО Внешстрой,Т-2,2 СкШ 6 кВ ПС Ломинцево,2 СкШ 6 кВ
135,31,Ломинцево,Шахта 23,16000,6,ООО Базальтовые технологии,Т-2,2 СкШ 6 кВ ПС Ломинцево,2 СкШ 6 кВ
136,31,Ломинцево,Шахта 24,16000,6,ОАО Щекинская городская электросеть,Т-2,2 СкШ 6 кВ ПС Ломинцево,2 СкШ 6 кВ
