,number,name,name_feeder_T,power_T,voltage_l,subscriber,Trs,fake_sect,sec_short
472,184,Малиновская,Карьер 2,6300,6,ООО Малиновский ДСЗ,Т-2,2 СкШ 6 кВ ПС Малиновская,2 СкШ 6 кВ
481,192,Алимкин,1,4000,6,Щекинский РЭС,Т-1,1 СкШ 6 кВ ПС Алимкин,1 СкШ 6 кВ
486,192,Алимкин,2,4000,6,Щекинский РЭС,Т-2,2 СкШ 6 кВ ПС Алимкин,2 СкШ 6 кВ
490,202,Пролетарская,1,25000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Пролетарская,1 СкШ 6 кВ
496,202,Пролетарская,13,25000,10,АО Тул. гор. электр. сети,Т-1,1 СкШ 10 кВ ПС Пролетарская,1 СкШ 10 кВ
504,202,Пролетарская,2,25000,6,МКП Тулгорэлектротранс,Т-2,2 СкШ 6 кВ ПС Пролетарская,2 СкШ 6 кВ
509,202,Пролетарская,30,25000,10,АО Тул. гор. электр. сети,Т-2,2 СкШ 10 кВ ПС Пролетарская,2 СкШ 10 кВ
517,212,Борисово,Богатьково,4000,10,Алексинский РЭС,Т-1,1 СкШ 10 кВ ПС Борисово,1 СкШ 10 кВ
518,212,Борисово,2,3200,10,Алексинский РЭС,Т-2,2 СкШ 10 кВ ПС Борисово,2 СкШ 10 кВ
523,213,Рождественская,1,16000,6,ООО 464 Комбинат нерудоископаемых,Т-1,1 СкШ 6 кВ ПС Рождественская,1 СкШ 6 кВ
527,213,Рождественская,2,16000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Рождественская,2 СкШ 6 кВ
536,217,Алексеевская,1 (откл.),4000,10,Киреевский ГРЭС,Т-1,1 СкШ 10 кВ ПС Алексеевская,1 СкШ 10 кВ
542,218,Южная,,25000,10,3 СкШ 10 кВ,Т-1,1 СкШ 10 кВ ПС Южная,1 СкШ 10 кВ
543,218,Южная,1,25000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Южная,1 СкШ 6 кВ
563,218,Южная,,25000,10,VI СкШ 10 кВ,Т-2,2 СкШ 10 кВ ПС Южная,2 СкШ 10 кВ
565,218,Южная,2,25000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Южная,2 СкШ 6 кВ
